,Type,Start,End,Duration,Day of Week,Budget,Currency,Clicks,Impressions,Spent,CTR,CPC,CPI,Target Age,Target Gender,Username,Email,Name,Gender,Age
11,GRZ,2017-05-12,2019-08-10,820,Friday,71393,USD,61455,500002,6283,0.12290950836196655,0.10223740948661622,0.012565949736201055,35-55,M,cdaniels,elizabeth72@yahoo.com,John Reid,M,49
12,AKX,2019-08-16,2019-09-17,32,Friday,998994,GDB,57862,500002,63808,0.11572353710585158,1.102761743458574,0.12761548953804186,25-35,M,cdaniels,elizabeth72@yahoo.com,John Reid,M,49
13,KTR,2018-08-15,2020-06-23,678,Wednesday,364172,GDB,11136,499999,26524,0.022272044544089088,2.3818247126436782,0.053048106096212196,25-35,M,dswanson,jennaperez@henderson-warner.net,Sheena Roman,F,29
14,BYU,2018-11-02,2018-06-20,-135,Friday,284431,GDB,53950,500000,51856,0.1079,0.9611862835959222,0.103712,30-45,M,dswanson,jennaperez@henderson-warner.net,Sheena Roman,F,29
15,AKX,2019-08-04,2019-04-07,-119,Sunday,423055,EUR,31858,499999,197412,0.06371612743225487,6.196622512398769,0.3948247896495793,35-50,F,dswanson,jennaperez@henderson-warner.net,Sheena Roman,F,29
16,BYU,2018-09-17,2019-08-23,340,Monday,379970,EUR,18722,499999,54299,0.03744407488814978,2.900277748103835,0.1085982171964344,20-25,M,dswanson,jennaperez@henderson-warner.net,Sheena Roman,F,29
17,AKX,2018-03-03,2018-07-17,136,Saturday,324828,EUR,40072,500000,20673,0.080144,0.5158963865042923,0.041346,25-30,F,dswanson,jennaperez@henderson-warner.net,Sheena Roman,F,29
18,BYU,2019-03-01,2019-04-27,57,Friday,240402,EUR,89881,499999,26434,0.17976235952471906,0.294099976635774,0.05286810573621147,20-25,F,dswanson,jennaperez@henderson-warner.net,Sheena Roman,F,29
19,KTR,2018-09-12,2020-09-27,746,Wednesday,902985,EUR,30095,500002,105039,0.06018975924096304,3.4902475494268153,0.21007715969136123,30-35,F,xblake,nritter@arnold.com,Alexandria Clay,F,37
20,KTR,2018-06-25,2019-05-15,324,Monday,46484,EUR,41150,499999,37333,0.0823001646003292,0.9072417982989064,0.07466614933229866,25-45,F,xblake,nritter@arnold.com,Alexandria Clay,F,37
21,GRZ,2018-08-01,2019-11-14,470,Wednesday,564937,EUR,44991,499999,327085,0.08998217996435993,7.270009557467049,0.6541713083426167,20-40,M,xblake,nritter@arnold.com,Alexandria Clay,F,37
22,KTR,2018-09-22,2018-07-11,-73,Saturday,388396,GDB,16589,499997,70651,0.03317819906919441,4.258906504310085,0.1413028478170869,25-40,F,xblake,nritter@arnold.com,Alexandria Clay,F,37
23,AKX,2019-10-03,2020-07-10,281,Thursday,939508,GDB,30508,499999,46019,0.06101612203224407,1.508424019929199,0.09203818407636816,20-45,F,xblake,nritter@arnold.com,Alexandria Clay,F,37
24,AKX,2017-10-12,2019-05-26,591,Thursday,324548,USD,31519,499998,322048,0.06303825215300861,10.217583045147371,0.6440985763943056,40-60,M,xblake,nritter@arnold.com,Alexandria Clay,F,37
25,GRZ,2019-12-01,2019-05-09,-206,Sunday,701510,USD,56957,500001,240938,0.11391377217245566,4.23017363976333,0.4818750362499275,25-30,M,xblake,nritter@arnold.com,Alexandria Clay,F,37
26,AKX,2018-08-17,2019-01-06,142,Friday,882761,GDB,54657,500003,832187,0.10931334411993528,15.225625263003824,1.664364013815917,30-45,M,xblake,nritter@arnold.com,Alexandria Clay,F,37
27,GRZ,2019-12-10,2020-04-18,130,Tuesday,230704,USD,19664,500000,116404,0.039328,5.919650122050448,0.232808,20-25,F,maureenfreeman,simmonsjennifer@hotmail.com,Kimberly Riley,F,23
28,BYU,2018-12-27,2019-10-31,308,Thursday,50778,EUR,51461,499998,36144,0.10292241168964676,0.7023571248129652,0.07228828915315662,30-35,F,maureenfreeman,simmonsjennifer@hotmail.com,Kimberly Riley,F,23
29,AKX,2018-02-03,2019-11-15,650,Saturday,828682,EUR,62073,500000,800878,0.124146,12.902195801717333,1.601756,20-30,M,maureenfreeman,simmonsjennifer@hotmail.com,Kimberly Riley,F,23
30,KTR,2019-06-18,2021-04-14,666,Tuesday,541906,EUR,31880,500001,382208,0.06375987248025504,11.988958594730239,0.7644144711710577,35-40,M,maureenfreeman,simmonsjennifer@hotmail.com,Kimberly Riley,F,23
31,KTR,2019-03-05,2020-03-26,387,Tuesday,193374,USD,55827,499997,89656,0.11165466992801956,1.6059612732190518,0.17931307587845527,35-40,F,balldanny,tarawest@hotmail.com,Christie Holmes,F,19
32,KTR,2019-07-10,2020-07-06,362,Wednesday,800038,GDB,53310,500000,431883,0.10662,8.101350590883511,0.863766,20-40,F,balldanny,tarawest@hotmail.com,Christie Holmes,F,19
33,BYU,2018-04-10,2018-09-10,153,Tuesday,219059,GDB,75444,499999,138347,0.15088830177660356,1.8337707438629978,0.27669455338910676,20-45,F,balldanny,tarawest@hotmail.com,Christie Holmes,F,19
34,KTR,2019-06-22,2021-03-30,647,Saturday,372974,EUR,72914,499995,40029,0.14582945829458294,0.5489892201771951,0.08005880058800588,20-40,M,balldanny,tarawest@hotmail.com,Christie Holmes,F,19
35,GRZ,2019-06-05,2021-04-13,678,Wednesday,979661,USD,46412,499997,249333,0.09282455694734168,5.372166681030768,0.4986689920139521,20-40,M,balldanny,tarawest@hotmail.com,Christie Holmes,F,19
36,KTR,2018-05-26,2019-06-25,395,Saturday,382066,EUR,38051,499997,171861,0.07610245661473969,4.516596147276024,0.3437240623443741,20-40,F,jessica15,patrickmiller@griffith.com,Kimberly Randall,F,34
37,GRZ,2019-03-03,2019-01-12,-50,Sunday,914315,USD,34130,499999,19421,0.06826013652027305,0.5690301787283915,0.03884207768415537,35-50,M,jessica15,patrickmiller@griffith.com,Kimberly Randall,F,34
38,GRZ,2018-04-02,2018-12-08,250,Monday,995705,USD,64128,499998,107715,0.1282565130260521,1.6796875,0.2154308617234469,20-35,F,jessica15,patrickmiller@griffith.com,Kimberly Randall,F,34
39,AKX,2019-09-22,2021-02-23,520,Sunday,309729,EUR,18880,500000,49370,0.03776,2.6149364406779663,0.09874,20-30,M,jessica15,patrickmiller@griffith.com,Kimberly Randall,F,34
40,AKX,2019-09-19,2021-08-04,685,Thursday,290777,USD,45356,500002,107646,0.09071163715345139,2.373357438927595,0.21529113883544465,30-45,M,jessica15,patrickmiller@griffith.com,Kimberly Randall,F,34
41,KTR,2019-04-19,2021-12-04,960,Friday,385948,GDB,44390,500000,239602,0.08878,5.397657129984231,0.479204,25-40,M,jessica15,patrickmiller@griffith.com,Kimberly Randall,F,34
42,BYU,2018-03-10,2019-03-05,360,Saturday,568386,USD,25242,499999,538842,0.05048410096820194,21.34704064654148,1.0776861553723107,20-35,F,jessica15,patrickmiller@griffith.com,Kimberly Randall,F,34
43,KTR,2019-08-19,2021-04-30,620,Monday,911938,GDB,45071,500000,189897,0.090142,4.213285704776908,0.379794,20-25,M,jessica15,patrickmiller@griffith.com,Kimberly Randall,F,34
44,KTR,2018-07-27,2020-07-18,722,Friday,686618,USD,45968,500000,536808,0.091936,11.67786286112078,1.073616,20-35,F,qramirez,kpadilla@davis.com,Deborah Jones,F,39
45,KTR,2018-02-27,2019-03-24,390,Tuesday,466613,USD,17889,499996,103967,0.03577828622628981,5.811783777740511,0.20793566348530787,30-50,F,qramirez,kpadilla@davis.com,Deborah Jones,F,39
46,GRZ,2018-04-29,2020-05-01,733,Sunday,92110,USD,21829,499997,22058,0.043658261949571696,1.0104906317284346,0.044116264697588184,30-35,F,qramirez,kpadilla@davis.com,Deborah Jones,F,39
47,AKX,2018-01-31,2018-11-18,291,Wednesday,97640,EUR,56799,500001,12174,0.11359777280445439,0.21433475941477842,0.024347951304097393,20-25,F,tammy45,christopher66@gmail.com,Cory Gonzalez,M,78
48,BYU,2018-02-09,2019-12-26,685,Friday,994249,EUR,20094,499997,381156,0.04018824112944678,18.968647357420124,0.7623165738994434,30-50,F,tammy45,christopher66@gmail.com,Cory Gonzalez,M,78
49,AKX,2019-12-10,2019-11-27,-13,Tuesday,55832,GDB,6841,499998,40416,0.013682054728218913,5.907908200555474,0.08083232332929331,40-50,F,jay20,blevinsricky@smith-thomas.biz,Shannon Martin,F,25
50,KTR,2018-05-22,2019-02-18,272,Tuesday,383907,GDB,75173,500002,126509,0.15034539861840554,1.682904766338978,0.2530169879320483,30-35,M,jay20,blevinsricky@smith-thomas.biz,Shannon Martin,F,25
51,BYU,2018-01-18,2019-05-27,494,Thursday,537114,USD,18174,499998,388590,0.03634814539258157,21.381644106965997,0.7771831087324349,35-60,F,jay20,blevinsricky@smith-thomas.biz,Shannon Martin,F,25
52,BYU,2018-08-20,2019-10-08,414,Monday,255825,EUR,77996,499999,60551,0.15599231198462396,0.77633468382994,0.12110224220448441,25-30,F,jay20,blevinsricky@smith-thomas.biz,Shannon Martin,F,25
53,KTR,2019-02-21,2020-07-11,506,Thursday,329722,EUR,31603,499998,327036,0.0632062528250113,10.348258076764864,0.6540746162984652,25-30,M,qmelendez,pricechristina@carroll.com,Tami Casey,F,32
54,GRZ,2019-01-07,2020-03-17,435,Monday,992446,EUR,71541,500001,509386,0.14308171383657234,7.120196810220713,1.018769962460075,40-50,F,qmelendez,pricechristina@carroll.com,Tami Casey,F,32
55,KTR,2018-06-13,2018-08-12,60,Wednesday,83432,USD,33309,499997,13678,0.06661839971039826,0.4106397670299318,0.02735616413698482,25-40,M,qmelendez,pricechristina@carroll.com,Tami Casey,F,32
56,BYU,2019-01-22,2019-08-11,201,Tuesday,394100,EUR,12914,500001,256080,0.02582794834410331,19.829642248722315,0.5121589756820486,45-65,M,qmelendez,pricechristina@carroll.com,Tami Casey,F,32
57,KTR,2018-04-09,2019-02-10,307,Monday,746000,GDB,79247,499998,202415,0.15849463397853591,2.5542291821772434,0.4048316193264773,20-30,M,kimberly56,zmartinez@lopez-hurley.info,Arthur Allen,M,53
58,BYU,2018-04-19,2019-01-15,271,Thursday,46489,USD,69500,500000,6654,0.139,0.09574100719424461,0.013308,20-25,M,kimberly56,zmartinez@lopez-hurley.info,Arthur Allen,M,53
59,AKX,2019-09-16,2021-07-06,659,Monday,74989,GDB,18717,499999,8810,0.03743407486814974,0.47069509002511084,0.01762003524007048,30-45,F,kimberly56,zmartinez@lopez-hurley.info,Arthur Allen,M,53
60,KTR,2019-03-23,2020-06-04,439,Saturday,888596,GDB,71837,500002,13823,0.14367342530629879,0.19242173253337416,0.027645889416442335,25-30,F,jamesmoran,nowen@miller.com,Carlos Lewis,M,24
61,GRZ,2019-10-07,2021-01-23,474,Monday,574364,USD,47331,499999,289362,0.09466218932437864,6.113583063953857,0.5787251574503149,35-40,F,jamesmoran,nowen@miller.com,Carlos Lewis,M,24
62,AKX,2019-10-18,2020-07-14,270,Friday,884476,GDB,65853,500003,190088,0.1317052097687414,2.886550346984951,0.38017371895768626,40-55,F,jamesmoran,nowen@miller.com,Carlos Lewis,M,24
63,GRZ,2019-03-25,2019-06-11,78,Monday,48366,GDB,43891,499999,43039,0.08778217556435113,0.9805882755006721,0.08607817215634431,20-25,M,jamesmoran,nowen@miller.com,Carlos Lewis,M,24
64,GRZ,2019-04-03,2019-08-10,129,Wednesday,684417,GDB,20957,499997,218059,0.04191425148550891,10.405067519205993,0.43612061672370034,30-50,M,jamesmoran,nowen@miller.com,Carlos Lewis,M,24
65,GRZ,2019-07-30,2020-11-23,482,Tuesday,13516,EUR,33066,499997,2067,0.06613239679438077,0.06251134095445472,0.004134024804148825,40-55,M,dominiquechang,lorijones@saunders.com,Jeffrey Flores,M,62
66,AKX,2018-11-24,2018-09-12,-73,Saturday,594991,EUR,20487,500001,425504,0.040973918052163896,20.769463562258995,0.851006297987404,25-45,F,dominiquechang,lorijones@saunders.com,Jeffrey Flores,M,62
67,BYU,2019-03-16,2020-09-16,550,Saturday,259387,GDB,58531,500000,400,0.117062,0.006833985409441151,0.0008,30-35,M,dominiquechang,lorijones@saunders.com,Jeffrey Flores,M,62
68,KTR,2017-11-17,2019-03-18,486,Friday,72616,EUR,24095,500001,45480,0.04818990362019276,1.8875285328906413,0.09095981808036384,30-45,M,dominiquechang,lorijones@saunders.com,Jeffrey Flores,M,62
69,BYU,2019-09-16,2021-03-05,536,Monday,680313,EUR,12154,499997,203001,0.024308145848875095,16.70240250123416,0.4060044360266162,20-40,F,dominiquechang,lorijones@saunders.com,Jeffrey Flores,M,62
70,KTR,2019-10-26,2021-08-23,667,Saturday,610677,GDB,14740,500000,601214,0.02948,40.787924016282226,1.202428,40-60,M,dominiquechang,lorijones@saunders.com,Jeffrey Flores,M,62
71,BYU,2019-06-04,2020-11-06,521,Tuesday,852365,USD,29087,500002,598661,0.05817376730493078,20.58173754598274,1.1973172107311572,35-50,M,dominiquechang,lorijones@saunders.com,Jeffrey Flores,M,62
72,BYU,2018-05-01,2018-07-30,90,Tuesday,902487,GDB,2109,499998,886347,0.004218016872067488,420.2688477951636,1.7727010908043632,40-60,M,ucarter,carlosduran@moore.com,Christopher Wilson,M,59
73,AKX,2018-10-17,2019-09-21,339,Wednesday,35840,EUR,15222,500001,1626,0.030443939112121777,0.10681907765076862,0.003251993496013008,40-50,F,ucarter,carlosduran@moore.com,Christopher Wilson,M,59
74,AKX,2019-04-26,2020-01-05,254,Friday,519392,GDB,36138,500000,88336,0.072276,2.4444075488405557,0.176672,25-35,F,wgraves,christopherwood@gmail.com,Donald Smith,M,39
75,BYU,2019-03-25,2019-06-14,81,Monday,607160,USD,20260,500003,63418,0.04051975688145871,3.130207305034551,0.12683523898856608,35-55,F,wgraves,christopherwood@gmail.com,Donald Smith,M,39
76,KTR,2018-08-02,2018-07-12,-21,Thursday,221238,USD,93299,500005,119984,0.1865961340386596,1.286015927287538,0.23996560034399655,40-60,F,wgraves,christopherwood@gmail.com,Donald Smith,M,39
77,BYU,2017-07-12,2019-02-03,571,Wednesday,581959,EUR,74813,500000,193815,0.149626,2.5906593773809363,0.38763,40-45,F,wgraves,christopherwood@gmail.com,Donald Smith,M,39
78,BYU,2018-07-30,2019-05-01,275,Monday,649819,USD,36939,499998,358827,0.07387829551318205,9.714042069357589,0.7176568706274825,40-65,F,wgraves,christopherwood@gmail.com,Donald Smith,M,39
79,AKX,2017-11-20,2018-03-02,102,Monday,479740,EUR,17311,499999,359624,0.034622069244138486,20.774305354976605,0.719249438498877,25-45,M,wgraves,christopherwood@gmail.com,Donald Smith,M,39
80,GRZ,2018-06-21,2019-09-21,457,Thursday,599534,EUR,21796,499998,207148,0.04359217436869747,9.503945678106074,0.4142976571906288,40-45,F,wgraves,christopherwood@gmail.com,Donald Smith,M,39
81,KTR,2019-02-18,2020-08-01,530,Monday,617050,GDB,73608,499997,419117,0.1472168833012998,5.693905553744158,0.8382390294341766,35-50,M,curtis92,robin21@mcclain.com,Calvin Miller,M,58
82,KTR,2019-02-22,2020-08-25,550,Friday,945852,GDB,63282,500000,850514,0.126564,13.44006194494485,1.701028,30-40,M,curtis92,robin21@mcclain.com,Calvin Miller,M,58
83,GRZ,2017-11-27,2018-01-17,51,Monday,276436,USD,32603,499997,234847,0.06520639123834743,7.20323283133454,0.4696968181809091,25-40,M,curtis92,robin21@mcclain.com,Calvin Miller,M,58
84,GRZ,2019-07-20,2020-12-13,512,Saturday,825432,GDB,69874,499999,182621,0.139748279496559,2.6135758651286602,0.36524273048546096,30-50,M,curtis92,robin21@mcclain.com,Calvin Miller,M,58
85,BYU,2018-01-28,2018-06-22,145,Sunday,307051,EUR,46877,500000,143105,0.093754,3.0527764148729655,0.28621,40-45,F,curtis92,robin21@mcclain.com,Calvin Miller,M,58
86,AKX,2019-01-22,2020-12-13,691,Tuesday,127365,GDB,51663,500002,96711,0.10332558669765321,1.8719586551303642,0.19342122631509473,45-55,M,curtis92,robin21@mcclain.com,Calvin Miller,M,58
87,AKX,2018-12-25,2019-09-04,253,Tuesday,156789,USD,46192,500001,1154,0.09238381523236953,0.024982680983720126,0.002307995384009232,35-50,F,curtis92,robin21@mcclain.com,Calvin Miller,M,58
88,AKX,2018-01-23,2018-08-11,200,Tuesday,908118,EUR,39425,500000,467952,0.07885,11.869422954977805,0.935904,40-50,F,curtis92,robin21@mcclain.com,Calvin Miller,M,58
89,AKX,2017-04-12,2018-08-27,502,Wednesday,646666,EUR,29786,499999,25284,0.05957211914423829,0.8488551668569126,0.050568101136202276,35-45,M,jillpark,linda10@yahoo.com,William Howell,M,46
90,AKX,2019-07-04,2020-01-22,202,Thursday,177195,GDB,67978,500003,80898,0.13595518426889439,1.1900614904822149,0.1617950292298246,35-40,M,jillpark,linda10@yahoo.com,William Howell,M,46
91,AKX,2018-04-06,2019-03-01,329,Friday,299772,EUR,26334,499998,213496,0.05266821067284269,8.107237791448318,0.4269937079748319,20-35,F,jillpark,linda10@yahoo.com,William Howell,M,46
92,BYU,2019-05-05,2021-07-01,788,Sunday,885899,EUR,32273,499998,245260,0.06454625818503273,7.599541412326093,0.4905219620878484,25-45,M,oliverjeffrey,jamesjenkins@walker-howard.info,Jennifer Sellers,F,54
93,AKX,2019-07-05,2020-08-03,395,Friday,166026,GDB,43414,499997,33048,0.08682852097112582,0.7612290966047819,0.06609639657837947,20-40,F,oliverjeffrey,jamesjenkins@walker-howard.info,Jennifer Sellers,F,54
94,BYU,2019-06-26,2020-10-15,477,Wednesday,736488,GDB,24233,500001,103183,0.048465903068193865,4.257954029629018,0.20636558726882545,25-30,M,oliverjeffrey,jamesjenkins@walker-howard.info,Jennifer Sellers,F,54
95,GRZ,2017-11-17,2019-04-01,500,Friday,790250,USD,31249,499998,8897,0.06249824999299997,0.2847131108195462,0.017794071176284704,25-40,F,oliverjeffrey,jamesjenkins@walker-howard.info,Jennifer Sellers,F,54
96,AKX,2019-04-27,2019-05-30,33,Saturday,278502,GDB,13628,500003,56282,0.027255836464981212,4.129879659524509,0.11256332462005228,40-60,M,oliverjeffrey,jamesjenkins@walker-howard.info,Jennifer Sellers,F,54
97,BYU,2018-08-03,2018-08-11,8,Friday,504738,GDB,16183,500000,474656,0.032366,29.330532039794846,0.949312,25-30,F,oliverjeffrey,jamesjenkins@walker-howard.info,Jennifer Sellers,F,54
98,GRZ,2018-11-14,2020-03-14,486,Wednesday,703182,USD,2326,499998,585562,0.004652018608074432,251.7463456577816,1.171128684514738,30-40,M,chavezkristine,marissa69@yahoo.com,Stephen Clark,M,60
99,KTR,2019-06-03,2020-11-26,542,Monday,56306,EUR,42791,500001,18561,0.08558182883634233,0.4337594353952934,0.03712192575614849,40-55,M,chavezkristine,marissa69@yahoo.com,Stephen Clark,M,60
100,BYU,2018-04-05,2018-01-11,-84,Thursday,61156,USD,34604,499997,18713,0.0692084152504915,0.5407756328748121,0.03742622455734734,40-50,F,chavezkristine,marissa69@yahoo.com,Stephen Clark,M,60
101,KTR,2018-01-07,2019-11-14,676,Sunday,483173,GDB,30507,500002,391562,0.06101375594497622,12.835152587930638,0.78312086751653,30-45,M,chavezkristine,marissa69@yahoo.com,Stephen Clark,M,60
102,GRZ,2018-06-26,2020-01-15,568,Tuesday,636235,EUR,33968,500000,19454,0.067936,0.5727154969382948,0.038908,30-40,F,chavezkristine,marissa69@yahoo.com,Stephen Clark,M,60
103,GRZ,2018-01-25,2018-01-06,-19,Thursday,153639,USD,10931,500000,49580,0.021862,4.535724087457689,0.09916,35-40,F,chavezkristine,marissa69@yahoo.com,Stephen Clark,M,60
104,AKX,2018-05-09,2019-12-24,594,Wednesday,451588,GDB,14677,500000,393060,0.029354,26.780677250119233,0.78612,30-45,M,chavezkristine,marissa69@yahoo.com,Stephen Clark,M,60
105,BYU,2019-07-16,2019-10-14,90,Tuesday,130022,GDB,19183,499996,59939,0.038366306930455445,3.124589480268988,0.11987895903167226,25-35,F,vanessa88,livingstoncarol@garner.net,Garrett Murray,M,33
106,BYU,2019-07-14,2021-06-23,710,Sunday,750141,USD,8257,499997,420123,0.016514099084594506,50.880828388034395,0.8402510415062491,20-25,F,vanessa88,livingstoncarol@garner.net,Garrett Murray,M,33
107,AKX,2019-07-30,2020-05-12,287,Tuesday,788070,GDB,44889,500003,631178,0.08977746133523198,14.060861235491991,1.2623484259094446,45-55,F,vanessa88,livingstoncarol@garner.net,Garrett Murray,M,33
108,BYU,2018-06-26,2019-08-06,406,Tuesday,861239,USD,57893,500002,763282,0.11578553685785258,13.184357348902285,1.526557893768425,25-40,M,vanessa88,livingstoncarol@garner.net,Garrett Murray,M,33
109,AKX,2018-07-29,2019-09-22,420,Sunday,871696,EUR,80878,499998,154822,0.1617566470265881,1.9142659314028536,0.30964523858095433,20-40,F,vanessa88,livingstoncarol@garner.net,Garrett Murray,M,33
110,KTR,2018-10-29,2019-05-07,190,Monday,376005,EUR,32258,499996,90452,0.06451651613212905,2.804017608035216,0.18090544724357796,40-50,F,vanessa88,livingstoncarol@garner.net,Garrett Murray,M,33
111,AKX,2018-07-05,2019-01-20,199,Thursday,586468,USD,15743,499998,138483,0.03148612594450378,8.796480975671727,0.2769671078684315,20-30,F,elizabeth13,deborah60@yahoo.com,Karen Diaz,F,19
112,AKX,2018-01-19,2018-12-28,343,Friday,22217,USD,35252,500001,21585,0.07050385899228201,0.6123056847838421,0.04316991366017268,30-40,F,elizabeth13,deborah60@yahoo.com,Karen Diaz,F,19
113,AKX,2019-08-20,2021-06-30,680,Tuesday,778042,GDB,24832,499997,637144,0.04966429798578791,25.658182989690722,1.2742956457738746,40-55,M,jenniferbaker,npennington@franklin.com,Jonathan Hall,M,39
114,AKX,2018-12-06,2019-09-17,285,Thursday,820827,GDB,23819,499999,479101,0.047638095276190555,20.114236533859525,0.9582039164078329,30-35,M,jenniferbaker,npennington@franklin.com,Jonathan Hall,M,39
115,KTR,2019-03-21,2019-08-16,148,Thursday,426980,EUR,30736,499995,286030,0.06147261472614726,9.306025507548153,0.5720657206572066,40-50,M,jenniferbaker,npennington@franklin.com,Jonathan Hall,M,39
116,KTR,2018-01-16,2019-05-31,500,Tuesday,958095,EUR,49806,500000,190054,0.099612,3.815885636268723,0.380108,30-40,F,jenniferbaker,npennington@franklin.com,Jonathan Hall,M,39
117,KTR,2019-05-08,2019-10-14,159,Wednesday,683853,USD,58970,500000,106873,0.11794,1.8123283025267085,0.213746,35-40,F,corymathis,garciaandrew@kim.com,Jose Murphy,M,42
118,KTR,2019-08-23,2019-09-12,20,Friday,570441,GDB,37381,500000,289643,0.074762,7.748401594392873,0.579286,30-40,F,corymathis,garciaandrew@kim.com,Jose Murphy,M,42
119,BYU,2019-08-23,2020-06-01,283,Friday,511223,GDB,56909,500000,261779,0.113818,4.59995782740867,0.523558,25-50,F,corymathis,garciaandrew@kim.com,Jose Murphy,M,42
120,AKX,2018-08-11,2019-03-03,204,Saturday,387855,GDB,28370,500002,146165,0.05673977304090783,5.15209728586535,0.29232883068467724,25-45,F,corymathis,garciaandrew@kim.com,Jose Murphy,M,42
121,GRZ,2019-12-03,2019-04-11,-236,Tuesday,662031,GDB,67010,500000,238012,0.13402,3.5518877779435907,0.476024,30-40,M,davidvega,wilsonchad@yahoo.com,Megan Fowler,F,45
122,GRZ,2018-08-18,2019-12-28,497,Saturday,376632,GDB,3010,500004,253426,0.006019951840385277,84.19468438538206,0.5068479452164383,20-40,M,davidvega,wilsonchad@yahoo.com,Megan Fowler,F,45
123,BYU,2019-09-03,2019-03-26,-161,Tuesday,323578,USD,48119,500001,289626,0.09623780752438495,6.018953012323615,0.579250841498317,35-50,F,davidvega,wilsonchad@yahoo.com,Megan Fowler,F,45
124,GRZ,2018-12-29,2020-12-22,724,Saturday,832380,EUR,50829,500001,534807,0.10165779668440664,10.521690373605619,1.0696118607762783,25-45,F,davidvega,wilsonchad@yahoo.com,Megan Fowler,F,45
125,BYU,2019-05-31,2019-10-23,145,Friday,365370,USD,35866,500001,18503,0.07173185653628693,0.5158924887079686,0.037005925988148024,35-55,M,davidvega,wilsonchad@yahoo.com,Megan Fowler,F,45
126,GRZ,2018-03-09,2020-05-08,791,Friday,16013,USD,26108,500002,13305,0.05221579113683545,0.5096139114447679,0.026609893560425757,40-55,M,davidvega,wilsonchad@yahoo.com,Megan Fowler,F,45
127,KTR,2018-03-05,2018-10-15,224,Monday,256261,GDB,63989,499999,85930,0.1279782559565119,1.3428870587132162,0.17186034372068745,40-45,F,davidvega,wilsonchad@yahoo.com,Megan Fowler,F,45
128,KTR,2019-06-08,2020-08-31,450,Saturday,761244,USD,73064,500001,761037,0.1461277077445845,10.416032519435015,1.5220709558580883,25-45,M,whiteerik,alexander14@hotmail.com,Joseph Perez,M,49
129,AKX,2018-03-17,2019-07-09,479,Saturday,130516,USD,52522,500001,118166,0.10504378991242018,2.2498381630554816,0.23633152733694532,25-40,F,whiteerik,alexander14@hotmail.com,Joseph Perez,M,49
130,BYU,2018-12-31,2019-09-13,256,Monday,843168,GDB,24588,500002,80054,0.049175803296786814,3.2558158451277044,0.1601073595705617,30-50,F,whiteerik,alexander14@hotmail.com,Joseph Perez,M,49
131,AKX,2019-05-08,2021-01-01,604,Wednesday,75940,EUR,55174,499999,46259,0.11034822069644139,0.8384202704172256,0.09251818503637008,35-40,M,whiteerik,alexander14@hotmail.com,Joseph Perez,M,49
132,AKX,2018-06-01,2018-03-24,-69,Friday,156573,USD,77766,499996,129738,0.15553324426595413,1.6683126301982871,0.2594780758246066,40-55,M,whiteerik,alexander14@hotmail.com,Joseph Perez,M,49
